Abounding_with.Depictive,Locative_relation.Direction,Locative_relation.Distance
Committing_crime.Means,Misdeed.Means
Committing_crime.Perpetrator,Crime_scenario.Perpetrator,Misdeed.Wrongdoer
Committing_crime.Place,Misdeed.Place
Committing_crime.Purpose,Misdeed.Purpose
Committing_crime.Time,Misdeed.Time
Communication.Addressee,Cause_to_perceive.Perceiver
Communication.Communicator,Cause_to_perceive.Agent
Communication.Manner,Cause_to_perceive.Manner
Communication_manner.Addressee,Communication.Addressee
Communication_manner.Depictive,Communication.Depictive
Communication_manner.Duration,Communication.Duration
Communication_manner.Manner,Communication.Manner
Communication_manner.Means,Communication.Means
Communication_manner.Medium,Communication.Medium
Communication_manner.Message,Communication.Message
Communication_manner.Speaker,Communication.Communicator
Communication_manner.Time,Communication.Time
Communication_manner.Topic,Communication.Topic
Communication.Means,Cause_to_perceive.Means
Communication.Message,Cause_to_perceive.Phenomenon
Communication_noise.Addressee,Communication.Addressee
Communication_noise.Degree,Communication.Amount_of_information
Communication_noise.Depictive,Communication.Depictive
Communication_noise.Manner,Communication.Manner
Communication_noise.Means,Communication.Means
Communication_noise.Medium,Communication.Medium
Communication_noise.Message,Communication.Message
Communication_noise.Speaker,Communication.Communicator
Communication_noise.Time,Communication.Time
Communication_noise.Topic,Communication.Topic
Communication.Place,Cause_to_perceive.Place
Communication.Purpose,Cause_to_perceive.Purpose
Communication_response.Addressee,Communication.Addressee
Communication_response.Depictive,Communication.Depictive
Communication_response.Duration,Communication.Duration
Communication_response.Manner,Communication.Manner,Response.Manner
Communication_response.Means,Communication.Means
Communication_response.Medium,Communication.Medium
Communication_response.Message,Communication.Message
Communication_response.Place,Response.Place
Communication_response.Purpose,Response.Purpose
Communication_response.Speaker,Communication.Communicator,Response.Agent
Communication_response.Time,Communication.Time,Response.Time
Communication_response.Topic,Communication.Topic
Communication_response.Trigger,Response.Trigger
Communication.Time,Cause_to_perceive.Time
Compatibility.Degree,Gradable_attributes.Degree
Compatibility.Item_1,Gradable_attributes.Entity
Complaining.Addressee,Statement.Addressee
Complaining.Complainer,Statement.Speaker
Complaining.Complaint,Statement.Message
Complaining.Depictive,Statement.Depictive
Complaining.Internal_cause,Statement.Internal_cause
Complaining.Manner,Statement.Manner
Complaining.Means,Statement.Means
Complaining.Medium,Statement.Medium
Complaining.Particular_iteration,Statement.Particular_iteration
Complaining.Place,Statement.Place
Complaining.Time,Statement.Time
Complaining.Topic,Statement.Topic
Completeness.Degree,Gradable_attributes.Degree
Completeness.Time,Gradable_attributes.Time
Completeness.Whole,Gradable_attributes.Entity
Compliance.Act,Satisfying.Event,Social_behavior_evaluation.Behavior
Compliance.Degree,Social_behavior_evaluation.Degree
Compliance.Judge,Social_behavior_evaluation.Judge
Compliance.Manner,Satisfying.Manner
Compliance.Means,Satisfying.Means
Compliance.Norm,Satisfying.Standard
Compliance.Protagonist,Satisfying.Agent,Satisfying.Entity,Social_behavior_evaluation.Individual
Compliance.Time,Satisfying.Time
Confronting_problem.Agent,Intentionally_act.Agent
Confronting_problem.Domain,Intentionally_act.Domain
Confronting_problem.Event_description,Intentionally_act.Event_dscription
Confronting_problem.Explanation,Intentionally_act.Explanation
Confronting_problem.Frequency,Intentionally_act.Frequency
Confronting_problem.Issue,Intentionally_act.Act
Confronting_problem.Manner,Intentionally_act.Manner
Confronting_problem.Means,Intentionally_act.Means
Confronting_problem.Particular_iteration,Intentionally_act.Particular_iteration
Confronting_problem.Period_of_iterations,Intentionally_act.Period_of_iterations
Confronting_problem.Place,Intentionally_act.Place
Confronting_problem.Purpose,Intentionally_act.Purpose
Confronting_problem.Result,Intentionally_act.Result
Confronting_problem.Time,Intentionally_act.Time
Connecting_architecture.Creator,Architectural_part.Creator
Connecting_architecture.Descriptor,Architectural_part.Descriptor
Connecting_architecture.Material,Architectural_part.Material
Connecting_architecture.Orientation,Architectural_part.Orientation
Connecting_architecture.Part,Architectural_part.Part
Connecting_architecture.Whole,Architectural_part.Whole
Connectors.Connector,Artifact.Artifact
Connectors.Creator,Artifact.Creator
Connectors.Material,Artifact.Material
Connectors.Name,Artifact.Name
Connectors.Time_of_creation,Artifact.Time_of_creation
Connectors.Type,Artifact.Type
Connectors.Use,Artifact.Use
Conquering.Conqueror,Invasion_scenario.Invader
Conquering.Degree,Invasion_scenario.Degree
Conquering.Instrument,Invasion_scenario.Instrument
Conquering.Manner,Invasion_scenario.Manner
Conquering.Means,Invasion_scenario.Means
Conquering.Place,Invasion_scenario.Place
Conquering.Purpose,Invasion_scenario.Purpose
Conquering.Theme,Invasion_scenario.Attacked
Conquering.Time,Invasion_scenario.Time
Contact_image_schema.Ground,Image_schema.Ground
Contact_image_schema.Profiled_region,Image_schema.Profiled_region
Container_focused_placing.Agent,Transitive_action.Agent
Container_focused_placing.Cause,Transitive_action.Cause
Container_focused_placing.Depictive,Transitive_action.Depictive
Container_focused_placing.Goal,Transitive_action.Patient
Container_focused_placing.Manner,Transitive_action.Manner
Container_focused_placing.Means,Transitive_action.Means
Container_focused_placing.Place,Transitive_action.Place
Container_focused_placing.Result,Transitive_action.Result
Container_focused_placing.Time,Transitive_action.Time
Container_focused_removing.Agent,Transitive_action.Agent
Container_focused_removing.Cause,Transitive_action.Cause
Container_focused_removing.Depictive,Transitive_action.Depictive
Container_focused_removing.Manner,Transitive_action.Manner
Container_focused_removing.Means,Transitive_action.Means
Container_focused_removing.Place,Transitive_action.Place
Container_focused_removing.Result,Transitive_action.Result
Container_focused_removing.Source,Transitive_action.Patient
Container_focused_removing.Time,Transitive_action.Time
Containing.Container,Locative_relation.Figure
Containing.Contents,Locative_relation.Ground
Containing.Time,Locative_relation.Time
Containment_relation.Direction,Locative_relation.Direction
Containment_relation.Figure,Locative_relation.Figure
Containment_relation.Ground,Locative_relation.Ground
Containment_relation_IS.Landmark,Trajector-Landmark.Landmark
Containment_relation_IS.Profiled_region,Trajector-Landmark.Profiled_region
Containment_relation_IS.Trajector,Trajector-Landmark.Trajector
Containment_relation.Time,Locative_relation.Time
Control.Controlling_entity,Objective_influence.Influencing_entity
Control.Controlling_situation,Objective_influence.Influencing_situation
Control.Controlling_variable,Objective_influence.Influencing_variable
Control.Degree,Objective_influence.Degree
Control.Dependent_entity,Objective_influence.Dependent_entity
Control.Dependent_situation,Objective_influence.Dependent_situation
Control.Dependent_variable,Objective_influence.Dependent_variable
Control.Manner,Objective_influence.Manner
Control.Place,Objective_influence.Place
Control.Time,Objective_influence.Time
Cooking_creation.Cook,Intentionally_create.Creator
Cooking_creation.Heating_Instrument,Intentionally_create.Instrument
Cooking_creation.Ingredients,Intentionally_create.Components
Cooking_creation.Manner,Intentionally_create.Manner
Cooking_creation.Means,Intentionally_create.Means
Cooking_creation.Place,Intentionally_create.Place
Cooking_creation.Produced_food,Intentionally_create.Created_entity
Cooking_creation.Purpose,Intentionally_create.Purpose
Cooking_creation.Time,Intentionally_create.Time
Corporal_punishment.Agent,Cause_harm.Agent,Rewards_and_punishments.Agent
Corporal_punishment.Body_part,Cause_harm.Body_part
Corporal_punishment.Degree,Cause_harm.Degree,Rewards_and_punishments.Degree
Corporal_punishment.Depictive,Cause_harm.Depictive,Rewards_and_punishments.Depictive
Corporal_punishment.Evaluee,Cause_harm.Victim,Rewards_and_punishments.Evaluee
Corporal_punishment.Instrument,Cause_harm.Instrument,Rewards_and_punishments.Instrument
Corporal_punishment.Manner,Cause_harm.Manner,Rewards_and_punishments.Manner
Corporal_punishment.Means,Cause_harm.Means,Rewards_and_punishments.Means
Corporal_punishment.Place,Cause_harm.Place,Rewards_and_punishments.Place
Corporal_punishment.Purpose,Cause_harm.Purpose,Rewards_and_punishments.Purpose
Corporal_punishment.Reason,Cause_harm.Reason,Rewards_and_punishments.Reason
Corporal_punishment.Result,Cause_harm.Result,Rewards_and_punishments.Result
Corporal_punishment.Time,Cause_harm.Time,Rewards_and_punishments.Time
Correctness.Degree,Gradable_attributes.Degree
Correctness.Information,Gradable_attributes.Entity
Corroding_caused.Agent,Transitive_action.Agent
Corroding_caused.Cause,Transitive_action.Cause
Corroding_caused.Manner,Transitive_action.Manner
Corroding_caused.Means,Transitive_action.Means
Corroding_caused.Place,Transitive_action.Place
Corroding_caused.Result,Transitive_action.Result
Corroding_caused.Time,Transitive_action.Time
Corroding_caused.Undergoer,Transitive_action.Patient
Cotheme.Area,Self_motion.Area
Cotheme.Cotheme,Self_motion.Cotheme
Cotheme.Depictive,Self_motion.Depictive
Cotheme.Direction,Self_motion.Direction
Cotheme.Distance,Self_motion.Distance
Cotheme.Duration,Self_motion.Duration
Cotheme.Explanation,Self_motion.Reason
Cotheme.Goal,Self_motion.Goal
Cotheme.Manner,Self_motion.Manner
Cotheme.Means,Self_motion.Means
Cotheme.Path,Self_motion.Path
Cotheme.Place,Self_motion.Place
Cotheme.Purpose,Self_motion.Purpose
Cotheme.Result,Self_motion.Result
Cotheme.Source,Self_motion.Source
Cotheme.Speed,Self_motion.Speed
Cotheme.Theme,Self_motion.Self_mover
Cotheme.Time,Self_motion.Time
Court_examination.Place,Trial.Place
Court_examination.Questioner,Trial.Defense,Trial.Prosecution
Court_examination.Time,Trial.Time
Create_physical_artwork.Creator,Intentionally_create.Creator
Create_physical_artwork.Depictive,Intentionally_create.Depictive
Create_physical_artwork.Instrument,Intentionally_create.Instrument
Create_physical_artwork.Manner,Intentionally_create.Manner
Create_physical_artwork.Means,Intentionally_create.Means
Create_physical_artwork.Place,Intentionally_create.Place
Create_physical_artwork.Purpose,Intentionally_create.Purpose
Create_physical_artwork.Representation,Intentionally_create.Created_entity
Create_physical_artwork.Role,Intentionally_create.Role
Create_physical_artwork.Time,Intentionally_create.Time
Creating.Cause,Transitive_action.Cause
Creating.Created_entity,Transitive_action.Patient
Creating.Creator,Transitive_action.Agent
Creating.Depictive,Transitive_action.Depictive
Creating.Manner,Transitive_action.Manner
Creating.Means,Transitive_action.Means
Creating.Place,Transitive_action.Place
Creating.Time,Transitive_action.Time
Criminal_investigation.Incident,Crime_scenario.Crime
Criminal_investigation.Investigator,Crime_scenario.Authorities
Criminal_investigation.Suspect,Crime_scenario.Suspect
Criminal_process.Charges,Crime_scenario.Charge
Criminal_process.Defendant,Crime_scenario.Suspect
Criminal_process.Judge,Crime_scenario.Authorities
Criminal_process.Offense,Crime_scenario.Crime
Cure.Healer,Transitive_action.Agent
Cure.Manner,Transitive_action.Manner
Cure.Patient,Transitive_action.Patient
Cure.Place,Transitive_action.Place
Cure.Time,Transitive_action.Time
Cure.Treatment,Transitive_action.Cause,Transitive_action.Means
Cutting.Agent,Intentionally_affect.Agent
Cutting.Instrument,Intentionally_affect.Instrument
Cutting.Item,Intentionally_affect.Patient
Cutting.Manner,Intentionally_affect.Manner
Cutting.Means,Intentionally_affect.Means
Cutting.Place,Intentionally_affect.Place
Cutting.Purpose,Intentionally_affect.Purpose
Cutting.Time,Intentionally_affect.Time
Cycle_of_life_and_death.Protagonist,Cycle_of_existence_scenario.Entity
Damaging.Agent,Transitive_action.Agent
Damaging.Cause,Transitive_action.Cause
Damaging.Manner,Transitive_action.Manner
Damaging.Means,Transitive_action.Means
Damaging.Patient,Transitive_action.Patient
Damaging.Place,Transitive_action.Place
Damaging.Result,Transitive_action.Result
Damaging.Time,Transitive_action.Time
Daring.Action,Intentionally_act.Act,Intentionally_act.Means
Daring.Agent,Intentionally_act.Agent
Daring.Manner,Intentionally_act.Manner
Daring.Place,Intentionally_act.Place
Daring.Purpose,Intentionally_act.Purpose
Daring.Time,Intentionally_act.Time
Dead_or_alive.Protagonist,Cycle_of_life_and_death.Protagonist,State.Entity
Death.Cause,Ceasing_to_be.Cause
Death.Degree,Ceasing_to_be.Degree
Death.Manner,Ceasing_to_be.Manner
Death.Place,Ceasing_to_be.Place
Death.Protagonist,Ceasing_to_be.Entity,Cycle_of_life_and_death.Protagonist
Death.Time,Ceasing_to_be.Time
Departing.Cotheme,Traversing.Cotheme
Departing.Depictive,Traversing.Depictive
Departing.Distance,Traversing.Distance
Departing.Frequency,Eventive_affecting.Frequency,Traversing.Frequency
Departing.Goal,Traversing.Goal
Departing.Journey,Traversing.Containing_event
Departing.Manner,Eventive_affecting.Manner,Traversing.Manner
Departing.Means,Traversing.Means
Departing.Path,Traversing.Path
Departing.Place,Eventive_affecting.Place,Traversing.Area
Departing.Purpose,Traversing.Purpose
Departing.Reason,Eventive_affecting.Reason,Traversing.Explanation
Departing.Source,Traversing.Source
Departing.Speed,Traversing.Speed
Departing.Theme,Eventive_affecting.Entity,Traversing.Theme
Departing.Time,Eventive_affecting.Time,Traversing.Time
Desirability.Circumstances,Gradable_attributes.Circumstances
Desirability.Degree,Gradable_attributes.Degree
Desirability.Evaluee,Gradable_attributes.Entity
Desirable_event.Circumstances,Desirability.Circumstances
Desirable_event.Degree,Desirability.Degree
Desirable_event.State_of_affairs,Desirability.Evaluee
Desiring.Degree,Experiencer_focus.Degree
Desiring.Event,Experiencer_focus.Content,Experiencer_focus.Event
Desiring.Experiencer,Experiencer_focus.Experiencer
Desiring.Focal_participant,Experiencer_focus.Topic
Desiring.Manner,Experiencer_focus.Manner
Desiring.Reason,Experiencer_focus.Reason
Desiring.Time,Experiencer_focus.Time
Destroying.Cause,Transitive_action.Cause
Destroying.Destroyer,Transitive_action.Agent
Destroying.Manner,Transitive_action.Manner
Destroying.Means,Transitive_action.Means
Destroying.Place,Transitive_action.Place
Destroying.Result,Transitive_action.Result
Destroying.Time,Transitive_action.Time
Destroying.Undergoer,Transitive_action.Patient
Difficulty.Activity,Gradable_attributes.Entity
Difficulty.Circumstances,Gradable_attributes.Circumstances
Difficulty.Degree,Gradable_attributes.Degree
Discussion.Depictive,Chatting.Depictive
Discussion.Duration,Chatting.Duration
Discussion.Interlocutor_1,Chatting.Interlocutor_1,Reciprocality.Protagonist_1
Discussion.Interlocutor_2,Chatting.Interlocutor_2,Reciprocality.Protagonist_2
Discussion.Interlocutors,Chatting.Interlocutors,Reciprocality.Protagonists
Discussion.Language,Chatting.Language
Discussion.Manner,Chatting.Manner
Discussion.Means,Chatting.Means
Discussion.Means_of_communication,Chatting.Means_of_communication
Discussion.Place,Chatting.Place
Discussion.Purpose,Chatting.Purpose
Discussion.Time,Chatting.Time
Discussion.Topic,Chatting.Topic
Disgraceful_situation.Degree,Social_behavior_evaluation.Degree
Disgraceful_situation.Judge,Social_behavior_evaluation.Judge
Disgraceful_situation.Protagonist,Social_behavior_evaluation.Individual
Disgraceful_situation.State_of_affairs,Social_behavior_evaluation.Behavior
Dispersal.Agent,Placing.Agent
Dispersal.Cause,Placing.Cause
Dispersal.Distance,Placing.Distance
Dispersal.Goal_area,Placing.Area,Placing.Goal
Dispersal.Individuals,Placing.Theme
Dispersal.Manner,Placing.Manner
Dispersal.Means,Placing.Means
Dispersal.Path,Placing.Path
Dispersal.Place,Placing.Place
Dispersal.Reason,Placing.Reason
Dispersal.Result,Placing.Result
Dispersal.Source,Placing.Source
Dispersal.Speed,Placing.Speed
Dispersal.Time,Placing.Time
Diversity.Cause,Similarity.Cause
Diversity.Degree,Similarity.Degree
Diversity.Depictive,Similarity.Depictive
Diversity.Dimension,Similarity.Dimension
Diversity.Group,Similarity.Entities
Diversity.Manner,Similarity.Manner
Diversity.Place,Similarity.Place
Diversity.Time,Similarity.Time
Documents.Bearer,Text.Topic
Documents.Document,Text.Text
Documents.Issuer,Text.Author
Documents.Medium,Text.Medium
Documents.Right,Text.Use
Dodging.Bad_entity,Avoiding.Undesirable_situation
Dodging.Degree,Avoiding.Degree
Dodging.Dodger,Avoiding.Agent
Dodging.Manner,Avoiding.Manner
Dodging.Means,Avoiding.Means
Dodging.Place,Avoiding.Place
Dodging.Purpose,Avoiding.Purpose
Dodging.Reason,Avoiding.Reason
Dodging.Time,Avoiding.Time
Dominate_competitor.Agent,Be_in_control.Controlling_entity
Dominate_competitor.Degree,Be_in_control.Degree
Dominate_competitor.Manner,Be_in_control.Manner
Dominate_competitor.Patient,Be_in_control.Dependent_entity
Dominate_competitor.Place,Be_in_control.Place
Dominate_competitor.Time,Be_in_control.Time
Drop_in_on.Host,Visit_host.Host,Visitor_arrival.Goal
Drop_in_on.Host_location,Visit_host.Host_location
Drop_in_on.Manner,Visitor_arrival.Manner
Drop_in_on.Means,Visitor_arrival.Means
Drop_in_on.Mode_of_transportation,Visitor_arrival.Mode_of_transportation
Drop_in_on.Normal_location,Visit_host.Normal_location,Visitor_arrival.Normal_location
Drop_in_on.Path,Visitor_arrival.Path
Drop_in_on.Purpose,Visit_host.Purpose,Visitor_arrival.Purpose
Drop_in_on.Time,Visitor_arrival.Time
Drop_in_on.Visitor,Visit_host.Visitor,Visitor_arrival.Agent
Duplication.Copy,Intentionally_create.Created_entity
Duplication.Creator,Intentionally_create.Creator
Duplication.Depictive,Intentionally_create.Depictive
Duplication.Instrument,Intentionally_create.Instrument
Duplication.Manner,Intentionally_create.Manner
Duplication.Means,Intentionally_create.Means
Duplication.Place,Intentionally_create.Place
Duplication.Purpose,Intentionally_create.Purpose
Duplication.Time,Intentionally_create.Time
Duration_attribute.Degree,Gradable_attributes.Degree
Duration_attribute.Period,Gradable_attributes.Entity
Duration_relation.Duration,Relation.Entity2
Duration_relation.Period,Relation.Entity1
Duration_scenario.Attribute,Measure_scenario.Attribute
Duration_scenario.Count,Measure_scenario.Count
Duration_scenario.Degree,Measure_scenario.Degree
Duration_scenario.Duration,Measure_scenario.Value
Duration_scenario.Period,Measure_scenario.Entity
Duration_scenario.Unit,Measure_scenario.Unit
Dying.Protagonist,State.Entity,State.State
Earnings_and_losses.Buyer,Commerce_collect.Buyer
Earnings_and_losses.Earner,Commerce_collect.Seller
Earnings_and_losses.Earnings,Commerce_collect.Money
Earnings_and_losses.Goods,Commerce_collect.Goods
Earnings_and_losses.Manner,Commerce_collect.Manner
Earnings_and_losses.Means,Commerce_collect.Means
Earnings_and_losses.Place,Commerce_collect.Place
Earnings_and_losses.Purpose,Commerce_collect.Purpose
Earnings_and_losses.Rate,Commerce_collect.Rate
Earnings_and_losses.Time,Commerce_collect.Time
Earnings_and_losses.Unit,Commerce_collect.Unit
Education_teaching.Degree,Intentionally_affect.Degree
Education_teaching.Manner,Intentionally_affect.Manner
Education_teaching.Means,Intentionally_affect.Means
Education_teaching.Place,Intentionally_affect.Place
Education_teaching.Purpose,Intentionally_affect.Purpose
Education_teaching.Student,Intentionally_affect.Patient
Education_teaching.Teacher,Intentionally_affect.Agent
Education_teaching.Time,Intentionally_affect.Time
Emotion_active.Degree,Cogitation.Degree
Emotion_active.Experiencer,Cogitation.Cognizer
Emotion_active.Manner,Cogitation.Manner
Emotion_active.Means,Cogitation.Means
Emotion_active.Result,Cogitation.Result
Emotion_active.Topic,Cogitation.Topic
Emotions_by_possibility.Circumstances,Emotions_by_stimulus.Circumstances
Emotions_by_possibility.Degree,Emotions_by_stimulus.Degree
Emotions_by_possibility.Empathy_target,Emotions_by_stimulus.Empathy_target
Emotions_by_possibility.Event,Emotions_by_stimulus.Event
Emotions_by_possibility.Experiencer,Emotions_by_stimulus.Experiencer
Emotions_by_possibility.Expressor,Emotions_by_stimulus.Expressor
Emotions_by_possibility.Manner,Emotions_by_stimulus.Manner
Emotions_by_possibility.Parameter,Emotions_by_stimulus.Parameter
Emotions_by_possibility.Reason,Emotions_by_stimulus.Reason
Emotions_by_possibility.State,Emotions_by_stimulus.State
Emotions_by_possibility.Stimulus,Emotions_by_stimulus.Stimulus
Emotions_by_possibility.Time,Emotions_by_stimulus.Time
Emotions_by_possibility.Topic,Emotions_by_stimulus.Topic
Emotions_by_stimulus.Circumstances,Emotions.Circumstances
Emotions_by_stimulus.Degree,Emotions.Degree
Emotions_by_stimulus.Empathy_target,Emotions.Empathy_target
Emotions_by_stimulus.Event,Emotions.Event
Emotions_by_stimulus.Experiencer,Emotions.Experiencer
Emotions_by_stimulus.Expressor,Emotions.Expressor
Emotions_by_stimulus.Manner,Emotions.Manner
Emotions_by_stimulus.Parameter,Emotions.Parameter
Emotions_by_stimulus.Reason,Emotions.Reason
Emotions_by_stimulus.State,Emotions.State
Emotions_by_stimulus.Stimulus,Emotions.Stimulus
Emotions_by_stimulus.Topic,Emotions.Topic
Emotions_of_mental_activity.Circumstances,Emotions_by_stimulus.Circumstances
Emotions_of_mental_activity.Degree,Emotions_by_stimulus.Degree
Emotions_of_mental_activity.Empathy_target,Emotions_by_stimulus.Empathy_target
Emotions_of_mental_activity.Experiencer,Emotions_by_stimulus.Experiencer
Emotions_of_mental_activity.Manner,Emotions_by_stimulus.Manner
Emotions_of_mental_activity.Parameter,Emotions_by_stimulus.Parameter
Emotions_of_mental_activity.Reason,Emotions_by_stimulus.Reason
Emotions_of_mental_activity.Stimulus,Emotions_by_stimulus.Stimulus
Emotions_success_or_failure.Circumstances,Emotions_by_stimulus.Circumstances
Emotions_success_or_failure.Degree,Emotions_by_stimulus.Degree
Emotions_success_or_failure.Empathy_target,Emotions_by_stimulus.Empathy_target
Emotions_success_or_failure.Event,Emotions_by_stimulus.Event
Emotions_success_or_failure.Experiencer,Emotions_by_stimulus.Experiencer
Emotions_success_or_failure.Expressor,Emotions_by_stimulus.Expressor
Emotions_success_or_failure.Manner,Emotions_by_stimulus.Manner
Emotions_success_or_failure.Parameter,Emotions_by_stimulus.Parameter
Emotions_success_or_failure.Reason,Emotions_by_stimulus.Reason
Emotions_success_or_failure.State,Emotions_by_stimulus.State
Emotions_success_or_failure.Stimulus,Emotions_by_stimulus.Stimulus
Emotions_success_or_failure.Topic,Emotions_by_stimulus.Topic
Employing.Compensation,Employer's_scenario.Compensation
Employing.Duration,Employer's_scenario.Duration
Employing.Employee,Employer's_scenario.Employee
Employing.Employer,Employer's_scenario.Employer
Employing.Field,Employer's_scenario.Field
Employing.Position,Employer's_scenario.Position
Employing.Task,Employer's_scenario.Task
Employment_continue.Compensation,Employment_scenario.Compensation
Employment_continue.Duration,Employment_scenario.Duration
Employment_continue.Employee,Employment_scenario.Employee
Employment_continue.Employer,Employment_scenario.Employer
Employment_continue.Field,Employment_scenario.Field
Employment_continue.Position,Employment_scenario.Position
Employment_continue.Task,Employment_scenario.Task
Employment_end.Employee,Employment_scenario.Employee
Employment_end.Employer,Employment_scenario.Employer
Employment_end.Position,Employment_scenario.Position
Employment_start.Compensation,Employment_scenario.Compensation
Employment_start.Employee,Employment_scenario.Employee
Employment_start.Employer,Employment_scenario.Employer
Employment_start.Field,Employment_scenario.Field
Employment_start.Position,Employment_scenario.Position
Employment_start.Task,Employment_scenario.Task
Emptying.Agent,Container_focused_removing.Agent
Emptying.Cause,Container_focused_removing.Cause
Emptying.Circumstances,Container_focused_removing.Circumstances
Emptying.Containing_event,Container_focused_removing.Containing_event
Emptying.Degree,Container_focused_removing.Degree
Emptying.Depictive,Container_focused_removing.Depictive
Emptying.Explanation,Container_focused_removing.Explanation
Emptying.Goal,Container_focused_removing.Goal
Emptying.Instrument,Container_focused_removing.Instrument
Emptying.Manner,Container_focused_removing.Manner
Emptying.Means,Container_focused_removing.Means
Emptying.Path,Container_focused_removing.Path
Emptying.Place,Container_focused_removing.Place
Emptying.Result,Container_focused_removing.Result
Emptying.Source,Container_focused_removing.Source
Emptying.Theme,Container_focused_removing.Theme
Emptying.Time,Container_focused_removing.Time
Endangering.Agent,Transitive_action.Agent
Endangering.Cause,Transitive_action.Cause
Endangering.Endangering_act,Transitive_action.Means
Endangering.Manner,Transitive_action.Manner
Endangering.Place,Transitive_action.Place
Endangering.Time,Transitive_action.Time
Endangering.Valued_entity,Transitive_action.Patient
Enforcing.Agent,Execute_plan.Agent
Enforcing.Circumstances,Execute_plan.Circumstances
Enforcing.Degree,Execute_plan.Degree
Enforcing.Duration,Execute_plan.Duration
Enforcing.Explanation,Execute_plan.Explanation
Enforcing.Focal_participant,Execute_plan.Focal_participant
Enforcing.Manner,Execute_plan.Manner
Enforcing.Means,Execute_plan.Means
Enforcing.Medium,Execute_plan.Medium
Enforcing.Outcome,Execute_plan.Outcome
Enforcing.Place,Execute_plan.Place
Enforcing.Purpose,Execute_plan.Purpose
Enforcing.Rule,Execute_plan.Plan
Enforcing.Time,Execute_plan.Time
Entering_of_plea.Accused,Arraignment.Defendant
Entering_of_plea.Charges,Arraignment.Charges
Entering_of_plea.Judge,Arraignment.Judge
Entering_of_plea.Place,Arraignment.Place
Entering_of_plea.Time,Arraignment.Time
Escaping.Depictive,Departing.Depictive
Escaping.Distance,Departing.Distance
Escaping.Escapee,Departing.Theme
Escaping.Goal,Departing.Goal
Escaping.Manner,Departing.Manner
Escaping.Means,Departing.Means
Escaping.Path,Departing.Path
Escaping.Place,Departing.Place
Escaping.Purpose,Departing.Purpose
Escaping.Speed,Departing.Speed
Escaping.Time,Departing.Time
Escaping.Undesirable_location,Departing.Source
Escaping.Vehicle,Departing.Mode_of_transportation
Evading.Area,Avoiding.Place
Evading.Circumstances,Avoiding.Circumstances
Evading.Degree,Avoiding.Degree
Evading.Evader,Avoiding.Agent
Evading.Manner,Avoiding.Manner
Evading.Means,Avoiding.Means
Evading.Purpose,Avoiding.Purpose
Evading.Pursuer,Avoiding.Undesirable_situation
Evading.Reason,Avoiding.Reason
Evading.Time,Avoiding.Time
Evaluative_comparison.Attribute,Position_on_a_scale.Variable
Evaluative_comparison.Degree,Position_on_a_scale.Degree
Evaluative_comparison.Profiled_item,Position_on_a_scale.Item
Event.Event,Change_of_state_scenario.Event
Event_in_history.Domain,Socially_significant_history_scenario.Domain
Event_in_history.Event,Socially_significant_history_scenario.Event
Event_in_history.Manner,Socially_significant_history_scenario.Manner
Event_in_history.Place,Socially_significant_history_scenario.Place
Event_in_history.Time,Socially_significant_history_scenario.Time
Event_instance.Event,Instance.Type
Event_instance.Instance,Instance.Instance
Event_instance.Instance_Prop,Instance.Instance_Prop
Eventive_affecting.Event,Event.Event
Eventive_affecting.Manner,Event.Manner
Eventive_affecting.Place,Event.Place
Eventive_affecting.Reason,Event.Reason
Eventive_affecting.Time,Event.Time
Event.Place,Change_of_state_scenario.Place
Event.Reason,Change_of_state_scenario.Reason
Event.Time,Change_of_state_scenario.Time
Examination.Examiner,Intentionally_act.Agent
Examination.Manner,Intentionally_act.Manner
Examination.Means,Intentionally_act.Means
Examination.Place,Intentionally_act.Place
Examination.Purpose,Intentionally_act.Purpose
Examination.Time,Intentionally_act.Time
Exchange_currency.Manner,Cause_change.Manner
Exchange_currency.Means,Cause_change.Means
Exchange_currency.Money,Cause_change.Entity
Exchange_currency.Money_owner,Cause_change.Agent
Exchange_currency.Place,Cause_change.Place
Exchange_currency.Purpose,Cause_change.Purpose
Exchange_currency.Source_currency,Cause_change.Initial_category
Exchange_currency.Sum_1,Cause_change.Initial_value
Exchange_currency.Sum_2,Cause_change.Final_value
Exchange_currency.Target_currency,Cause_change.Final_category
Exchange_currency.Time,Cause_change.Time
Exchange.Exchanger_1,Intentionally_act.Agent,Reciprocality.Protagonist_1
Exchange.Exchanger_2,Reciprocality.Protagonist_2
Exchange.Exchangers,Reciprocality.Protagonists
Exchange.Manner,Intentionally_act.Manner
Exchange.Means,Intentionally_act.Means
Exchange.Place,Intentionally_act.Place
Exchange.Purpose,Intentionally_act.Purpose
Exchange.Time,Intentionally_act.Time
Execute_plan.Agent,Intentionally_act.Agent
Execute_plan.Manner,Intentionally_act.Manner
Execute_plan.Means,Intentionally_act.Means
Execute_plan.Place,Intentionally_act.Place
Execute_plan.Purpose,Intentionally_act.Purpose
Execute_plan.Time,Intentionally_act.Time
Execution.Degree,Killing.Degree,Rewards_and_punishments.Degree
Execution.Depictive,Killing.Depictive,Rewards_and_punishments.Depictive
Execution.Executed,Killing.Victim,Rewards_and_punishments.Evaluee
Execution.Execution,Rewards_and_punishments.Response_action
